Username,Comment
@Hacker90Acharya,Chiod hood memorys 😢 💚 U PRIMAL SURVIVEOR
@Hacker90Acharya,True life is this jungles 😍💚 100% peace 💘😇
@anuyadav7269,oo ketar pillare nhi hai kosa kida hai
@RajeshMajhi-g7x,Not one person with camera man
@UmeshRajbhar-e9c,Cemra man ko madhumakhiyo ne nahi katha he 😅😅😅😅😅😮
@JituDas-k8w,Camera man urta hai kya 😅
@KrishnaKajale-g1v,Very nice kabse dekharaha tha ye video
@ToxicgamerYT11-d3n,😊😊
@BishalLohar-b7c,🤗🤗😍🤝
@BishalLohar-b7c,🤝🙋😍😍
@TurstinTorque,Oh Bor to nahin ho rahe ho na Shahima love you 😅
@BibekJoshi-iu3bn,Scripted 😅
@yatharthsingh2603,Y he doesn't wear shoes 5:31
@AshishKumarsen-r9h,Camera man same struggle but 😢
@AshishKumarsen-r9h,Kabhi camera 📷 man dikhao😊
@KINGYTTZ,who is the cameraman anyway 😂
@safistudyandfitness,Real survival never collects honey like you.. all bees were biting you but you tolerated the pain.. seems false. I m surprised why you have not used smoke for honey collection?
@136.25k,Camera man Hi to agge hota hao😅😂😂😂
@RAJKUMARISAHANI-r5c,8:06
@surendrapatel9909,Mujhe bhi le chalo jangal
@israransari2484,Chappal to pehan lo yarr brother
@n.g.king..9,9:25  kaise so jaate Ho 😮
@shaikhasif6201,me ja chuka ho
@RajanKumar-ns9ki,अब वीडियो नहीं आ रही हैं 🤔 कही इसे शेर तो नहीं खा गए।😅😢😢
@SushantBsinhs,शॉप नहीं दिख रहा हैं 😅
@DAILYONEBOOKSTUDY,"Ak Complete टीम साथ होती है but vo sirf khud ke liye usee karte h फैसलिटी ka 
Jo अड़व्चर karta h vo अपने ऊपर सेल्फ डिपेंडेडेड होता है टीम उसको शूट करती है"
@ravirajpawar1424,Great sir
@KISHUUU-GEMMING,Etiting he bro
@AmitaPande-z6t,कैमरा मैन को इक्कीस तोपों की सलामी
@shawonsadek,I like that
@Milanoedit67,Suiiiiii to him 😂😂
@RavinderKumar-ry5lm,Bhai ma
@mrchubhak,new videokab aayega
@Tonyraj-07,New videos brother♥♥
